BSN,Portfoy,Tahsilat,Tarih
BSN0579445,BANK2P2,260.00,12/16/2013
BSN0519135,BANK2P2,83.07,1/24/2013
BSN0568050,BANK2P2,800.00,6/13/2012
BSN0571512,BANK2P2,370.00,7/17/2012
BSN0568147,BANK2P2,375.00,8/29/2013
BSN0567846,BANK2P2,499.73,2/22/2013
BSN0567650,BANK2P2,650.00,5/15/2013
BSN0483833,BANK2P2,1127.95,1/29/2013
BSN0581859,BANK2P2,100.00,7/13/2012
BSN0583076,BANK2P2,150.00,6/14/2013
BSN0568223,BANK2P2,69.07,4/26/2013
BSN0570383,BANK2P2,660.80,12/3/2012
BSN0570012,BANK2P2,500.00,1/23/2013
BSN0565761,BANK2P2,63.96,2/10/2014
BSN0571368,BANK2P2,233.70,2/4/2013
BSN0568234,BANK2P2,108.70,8/28/2012
BSN0566722,BANK2P2,1248.02,1/24/2014
BSN0573176,BANK2P2,420.05,12/17/2012
BSN0570850,BANK2P2,29.70,11/26/2012
BSN0565844,BANK2P2,205.68,10/10/2013
BSN0576836,BANK2P2,123.91,10/22/2013
BSN0566779,BANK2P2,300.00,6/25/2013
BSN0567680,BANK2P2,15.71,11/14/2013
BSN0565866,BANK2P2,14.22,12/28/2012
BSN0568759,BANK2P2,400.00,1/7/2013
BSN0577419,BANK2P2,200.00,10/31/2012
BSN0565477,BANK2P2,277.44,10/18/2012
BSN0566162,BANK2P2,730.00,3/1/2013
BSN0492200,BANK2P2,50.16,2/20/2014
BSN0582460,BANK2P2,400.00,1/28/2013
BSN0566221,BANK2P2,182.20,1/20/2014
BSN0566222,BANK2P2,397.57,11/22/2013
BSN0566170,BANK2P2,1137.23,7/24/2012
BSN0389668,BANK2P2,27.03,5/27/2013
BSN0576094,BANK2P2,243.32,8/12/2013
BSN0570099,BANK2P2,300.00,1/3/2013
BSN0402779,BANK2P2,1110.90,1/10/2014
BSN0575135,BANK2P2,100.00,10/2/2013
BSN0568012,BANK2P2,4300.00,9/2/2013
BSN0566643,BANK2P2,582.27,11/5/2013
BSN0496507,BANK2P2,1832.47,6/26/2012
BSN0472834,BANK2P2,152.16,7/10/2013
BSN0059261,BANK2P2,21.39,9/24/2013
BSN0581529,BANK2P2,66.00,5/15/2013
BSN0568387,BANK2P2,408.50,2/6/2013
BSN0581704,BANK2P2,290.00,8/17/2012
BSN0550150,BANK2P2,112.39,11/8/2013
BSN0508180,BANK2P2,7.93,12/23/2013
BSN0566017,BANK2P2,233.70,5/13/2013
BSN0579021,BANK2P2,90.00,1/20/2014
BSN0531902,BANK2P2,147.27,9/19/2013
BSN0565477,BANK2P2,306.51,10/18/2012
BSN0572037,BANK2P2,206.79,4/4/2013
BSN0568233,BANK2P2,589.78,10/17/2012
BSN0565797,BANK2P2,659.00,8/2/2012
BSN0565477,BANK2P2,143.07,11/23/2012
BSN0565745,BANK2P2,346.20,6/13/2012
BSN0565557,BANK2P2,8857.50,7/23/2013
BSN0521940,BANK2P2,96.37,9/28/2012
BSN0567729,BANK2P2,444.90,2/24/2014
BSN0209640,BANK2P2,392.73,5/27/2013
BSN0579110,BANK2P2,70.00,9/30/2013
BSN0504237,BANK2P2,90.92,8/13/2012
BSN0573386,BANK2P2,350.00,2/15/2013
BSN0568897,BANK2P2,108.54,2/26/2013
BSN0570161,BANK2P2,67.67,5/15/2013
BSN0573987,BANK2P2,1202.77,6/13/2012
BSN0263125,BANK2P2,55.51,4/29/2013
BSN0566074,BANK2P2,400.00,2/25/2013
BSN0460522,BANK2P2,0.07,12/28/2012
BSN0570747,BANK2P2,100.00,11/28/2013
BSN0567985,BANK2P2,220.97,7/17/2013
BSN0579348,BANK2P2,1100.00,8/12/2013
BSN0318811,BANK2P2,106.84,2/6/2014
BSN0570784,BANK2P2,200.00,7/19/2012
BSN0575523,BANK2P2,250.00,7/20/2012
BSN0571866,BANK2P2,500.00,7/16/2013
BSN0567959,BANK2P2,38.33,1/25/2013
BSN0568106,BANK2P2,921.60,8/16/2012
BSN0583423,BANK2P2,250.00,12/28/2012
BSN0565296,BANK2P2,7470.32,1/18/2013
BSN0578805,BANK2P2,60.00,9/10/2012
BSN0568046,BANK2P2,4.58,8/22/2012
BSN0566212,BANK2P2,467.30,2/20/2013
BSN0583893,BANK2P2,300.00,1/16/2014
BSN0508769,BANK2P2,78.49,11/12/2013
BSN0549080,BANK2P2,124.39,2/1/2013
BSN0570451,BANK2P2,400.00,2/17/2014
BSN0574561,BANK2P2,300.00,11/7/2013
BSN0124388,BANK2P2,185.73,9/14/2012
BSN0567077,BANK2P2,542.10,1/20/2014
BSN0567906,BANK2P2,61.48,3/7/2013
BSN0582879,BANK2P2,500.00,11/19/2012
BSN0577132,BANK2P2,100.00,8/29/2013
BSN0567289,BANK2P2,2604.07,7/12/2012
BSN0574530,BANK2P2,68.71,6/20/2013
BSN0566789,BANK2P2,400.00,11/18/2013
BSN0568236,BANK2P2,14.17,9/11/2013
BSN0577321,BANK2P2,59.39,12/16/2013
BSN0566903,BANK2P2,1000.00,11/30/2012
BSN0565847,BANK2P2,12.90,7/17/2013
BSN0576618,BANK2P2,140.00,9/10/2012
BSN0567654,BANK2P2,76.63,3/5/2013
BSN0574840,BANK2P2,200.00,5/17/2013
BSN0573751,BANK2P2,3.72,8/16/2012
BSN0578056,BANK2P2,844.72,3/18/2013
BSN0583260,BANK2P2,140.00,9/18/2012
BSN0575212,BANK2P2,200.00,6/3/2013
BSN0293889,BANK2P2,5546.00,6/14/2013
BSN0290665,BANK2P2,25.95,11/19/2013
BSN0566257,BANK2P2,50.33,2/18/2014
BSN0569104,BANK2P2,100.00,1/30/2014
BSN0569171,BANK2P2,561.18,11/22/2012
BSN0568123,BANK2P2,1000.00,12/11/2012
BSN0570617,BANK2P2,250.00,11/4/2013
BSN0578239,BANK2P2,175.11,8/26/2013
BSN0566083,BANK2P2,70.95,11/5/2013
BSN0579856,BANK2P2,61.61,2/17/2014
BSN0565816,BANK2P2,276.23,5/28/2013
BSN0578034,BANK2P2,142.98,4/29/2013
BSN0565960,BANK2P2,336.27,4/24/2013
BSN0574127,BANK2P2,510.70,12/25/2012
BSN0583899,BANK2P2,251.00,10/17/2012
BSN0565313,BANK2P2,232.23,7/25/2013
BSN0568188,BANK2P2,120.00,7/15/2013
BSN0407442,BANK2P2,6.44,2/12/2013
BSN0385358,BANK2P2,575.53,3/25/2013
BSN0568076,BANK2P2,180.60,6/13/2012
BSN0415830,BANK2P2,548.93,11/14/2013
BSN0568236,BANK2P2,9.45,10/8/2012
BSN0577594,BANK2P2,400.00,9/2/2013
BSN0567119,BANK2P2,178.92,2/5/2014
BSN0575611,BANK2P2,100.00,10/7/2013
BSN0566643,BANK2P2,354.43,7/15/2013
BSN0579641,BANK2P2,14.16,9/2/2013
BSN0566005,BANK2P2,255.01,8/1/2012
BSN0580549,BANK2P2,550.00,2/13/2014
BSN0567331,BANK2P2,46.48,2/28/2013
BSN0576836,BANK2P2,123.91,8/20/2013
BSN0576449,BANK2P2,300.00,12/31/2012
BSN0569571,BANK2P2,300.00,6/13/2012
BSN0476193,BANK2P2,66.09,9/11/2012
BSN0570754,BANK2P2,17.67,6/5/2013
BSN0569592,BANK2P2,216.03,2/27/2013
BSN0579893,BANK2P2,79.21,4/8/2013
BSN0568646,BANK2P2,1100.00,9/26/2013
BSN0569826,BANK2P2,150.00,11/18/2013
BSN0579704,BANK2P2,150.00,7/23/2012
BSN0576303,BANK2P2,100.00,10/31/2013
BSN0549653,BANK2P2,255.98,9/4/2013
BSN0566290,BANK2P2,48.59,2/26/2014
BSN0475176,BANK2P2,1500.00,12/24/2012
BSN0565580,BANK2P2,140.00,9/17/2013
BSN0580054,BANK2P2,50.00,1/4/2013
BSN0565626,BANK2P2,365.00,3/25/2013
BSN0566912,BANK2P2,93.62,3/20/2013
BSN0570204,BANK2P2,400.00,3/15/2013
BSN0565890,BANK2P2,74.40,10/30/2013
BSN0567820,BANK2P2,76.71,4/29/2013
BSN0567820,BANK2P2,565.93,2/19/2014
BSN0577893,BANK2P2,306.00,11/21/2012
BSN0508769,BANK2P2,117.74,10/16/2012
BSN0566022,BANK2P2,1115.26,10/3/2012
BSN0569171,BANK2P2,571.15,9/10/2013
BSN0582050,BANK2P2,100.00,10/10/2013
BSN0573751,BANK2P2,234.82,11/30/2012
BSN0571108,BANK2P2,1312.92,7/31/2012
BSN0572716,BANK2P2,224.24,11/25/2013
BSN0318811,BANK2P2,39.26,9/23/2013
BSN0567658,BANK2P2,62.54,9/19/2013
BSN0565724,BANK2P2,22.22,12/27/2013
BSN0566767,BANK2P2,70.74,9/24/2013
BSN0570619,BANK2P2,100.00,10/23/2013
BSN0567709,BANK2P2,578.01,7/16/2013
BSN0570603,BANK2P2,1450.00,12/31/2012
BSN0577807,BANK2P2,140.00,10/2/2013
BSN0567523,BANK2P2,22.85,2/4/2013
BSN0581466,BANK2P2,520.00,10/22/2013
BSN0573869,BANK2P2,16.50,2/19/2014
BSN0572553,BANK2P2,13.67,2/21/2014
BSN0575623,BANK2P2,27.23,11/4/2013
BSN0572232,BANK2P2,233.00,6/13/2012
BSN0566900,BANK2P2,170.00,8/15/2013
BSN0571092,BANK2P2,154.38,8/28/2013
BSN0574885,BANK2P2,300.00,10/3/2012
BSN0566091,BANK2P2,265.34,9/27/2013
BSN0569749,BANK2P2,3186.11,5/15/2013
BSN0575944,BANK2P2,200.00,12/10/2012
BSN0545587,BANK2P2,4.76,10/8/2013
BSN0570440,BANK2P2,931.93,3/8/2013
BSN0286311,BANK2P2,105.76,10/16/2012
BSN0573150,BANK2P2,36.13,11/22/2013
BSN0567070,BANK2P2,931.20,8/15/2012
BSN0307957,BANK2P2,179.48,5/31/2013
BSN0565835,BANK2P2,400.00,10/10/2013
BSN0568046,BANK2P2,4.56,6/24/2013
BSN0579849,BANK2P2,600.00,7/25/2013
BSN0565847,BANK2P2,174.73,7/17/2013
BSN0400726,BANK2P2,640.41,7/22/2013
BSN0573751,BANK2P2,421.04,6/10/2013
BSN0565514,BANK2P2,494.61,10/22/2012
BSN0584030,BANK2P2,7200.00,6/28/2013
BSN0568112,BANK2P2,129.64,1/16/2014
BSN0568914,BANK2P2,629.97,5/14/2013
BSN0192203,BANK2P2,200.00,10/1/2012
BSN0568235,BANK2P2,215.85,8/26/2013
BSN0573961,BANK2P2,500.00,11/29/2013
BSN0567774,BANK2P2,224.52,5/20/2013
BSN0568444,BANK2P2,233.70,3/13/2013
BSN0567534,BANK2P2,620.00,9/28/2012
BSN0570614,BANK2P2,320.75,7/24/2013
BSN0573959,BANK2P2,3.36,5/29/2013
BSN0582528,BANK2P2,100.00,4/5/2013
BSN0583312,BANK2P2,612.60,6/21/2013
BSN0580564,BANK2P2,270.11,5/13/2013
BSN0581223,BANK2P2,265.00,4/12/2013
BSN0579117,BANK2P2,900.00,8/22/2012
BSN0567470,BANK2P2,380.81,9/3/2013
BSN0551432,BANK2P2,142.04,7/22/2013
BSN0568785,BANK2P2,142.33,1/20/2014
BSN0567409,BANK2P2,153.78,11/27/2013
BSN0256893,BANK2P2,15.13,6/27/2013
BSN0570056,BANK2P2,467.30,11/12/2013
BSN0574233,BANK2P2,8.81,6/13/2012
BSN0570443,BANK2P2,200.00,12/4/2012
BSN0576277,BANK2P2,200.00,5/14/2013
BSN0565645,BANK2P2,200.00,1/20/2014
BSN0565416,BANK2P2,600.00,12/7/2012
BSN0565813,BANK2P2,252.78,9/14/2012
BSN0491680,BANK2P2,897.20,6/13/2013
BSN0565363,BANK2P2,96.00,8/17/2012
BSN0307182,BANK2P2,1242.04,12/26/2012
BSN0059261,BANK2P2,21.39,7/23/2013
BSN0570747,BANK2P2,100.00,5/29/2013
BSN0576935,BANK2P2,150.00,10/28/2013
BSN0565402,BANK2P2,190.83,12/25/2012
BSN0578873,BANK2P2,3558.05,4/16/2013
BSN0583016,BANK2P2,320.00,8/6/2012
BSN0452668,BANK2P2,648.61,10/3/2013
BSN0580118,BANK2P2,100.00,10/4/2012
BSN0567001,BANK2P2,430.00,1/23/2014
BSN0575212,BANK2P2,200.00,8/5/2013
BSN0568940,BANK2P2,252.37,3/4/2013
BSN0583068,BANK2P2,800.00,7/20/2012
BSN0570850,BANK2P2,101.52,7/26/2013
BSN0565983,BANK2P2,328.38,10/30/2013
BSN0544588,BANK2P2,99.29,8/1/2012
BSN0568021,BANK2P2,401.72,7/23/2013
BSN0575982,BANK2P2,100.00,7/25/2013
BSN0570017,BANK2P2,500.00,10/30/2012
BSN0568424,BANK2P2,99.57,7/18/2013
BSN0574878,BANK2P2,219.00,11/26/2012
BSN0572265,BANK2P2,250.00,1/31/2013
BSN0578106,BANK2P2,20.00,11/7/2013
BSN0567428,BANK2P2,232.53,4/5/2013
BSN0583824,BANK2P2,70.40,12/13/2012
BSN0579280,BANK2P2,100.00,3/8/2013
BSN0565392,BANK2P2,367.09,6/13/2012
BSN0570205,BANK2P2,150.00,11/23/2012
BSN0583221,BANK2P2,350.00,3/1/2013
BSN0574463,BANK2P2,775.52,7/18/2012
BSN0565526,BANK2P2,80.00,4/15/2013
BSN0578368,BANK2P2,500.00,5/29/2013
BSN0565667,BANK2P2,402.83,8/14/2012
BSN0565945,BANK2P2,112.52,11/26/2012
BSN0566042,BANK2P2,91.62,12/17/2012
BSN0567847,BANK2P2,239.91,7/22/2013
BSN0567939,BANK2P2,543.86,9/25/2012
BSN0573536,BANK2P2,334.00,9/9/2013
BSN0567703,BANK2P2,934.50,7/17/2013
BSN0566958,BANK2P2,321.10,7/19/2013
BSN0578374,BANK2P2,150.00,9/6/2013
BSN0568148,BANK2P2,250.00,5/22/2013
BSN0088156,BANK2P2,157.02,11/13/2012
BSN0567709,BANK2P2,0.25,11/14/2013
BSN0566003,BANK2P2,113.71,3/25/2013
BSN0575320,BANK2P2,250.00,2/28/2013
BSN0570017,BANK2P2,500.00,8/28/2012
BSN0582319,BANK2P2,500.00,5/22/2013
BSN0573893,BANK2P2,68.22,4/25/2013
BSN0565739,BANK2P2,85.60,9/20/2012
BSN0576657,BANK2P2,898.68,3/25/2013
BSN0573852,BANK2P2,181.63,12/11/2013
BSN0575736,BANK2P2,515.00,5/22/2013
BSN0540298,BANK2P2,208.12,7/24/2013
BSN0569592,BANK2P2,45.99,4/1/2013
BSN0568713,BANK2P2,365.00,7/17/2013
BSN0565964,BANK2P2,41.48,9/24/2013
BSN0572290,BANK2P2,93.12,9/25/2012
BSN0568800,BANK2P2,1128.50,12/26/2012
BSN0578239,BANK2P2,175.11,11/27/2012
BSN0565583,BANK2P2,300.00,10/25/2013
BSN0565616,BANK2P2,194.23,12/23/2013
BSN0567884,BANK2P2,344.71,5/16/2013
BSN0567807,BANK2P2,197.20,12/6/2013
BSN0577373,BANK2P2,2000.00,3/4/2013
BSN0568304,BANK2P2,467.30,4/17/2013
BSN0565557,BANK2P2,607.50,5/21/2013
BSN0579178,BANK2P2,350.00,10/3/2012
BSN0566753,BANK2P2,50.35,9/4/2013
BSN0565560,BANK2P2,203.16,1/23/2014
BSN0568800,BANK2P2,373.80,9/24/2013
BSN0579391,BANK2P2,325.00,7/15/2013
BSN0565306,BANK2P2,150.00,12/18/2013
BSN0568501,BANK2P2,500.00,8/17/2012
BSN0565709,BANK2P2,106.30,1/21/2013
BSN0565763,BANK2P2,200.00,7/3/2013
BSN0580591,BANK2P2,210.00,9/26/2013
BSN0567928,BANK2P2,848.14,7/25/2012
BSN0580416,BANK2P2,100.00,1/10/2013
BSN0376585,BANK2P2,987.98,2/14/2014
BSN0311018,BANK2P2,11.67,4/26/2013
BSN0571324,BANK2P2,134.43,9/24/2013
BSN0569271,BANK2P2,34.91,5/21/2013
BSN0483107,BANK2P2,75.26,8/23/2012
BSN0583765,BANK2P2,3000.00,12/24/2012
BSN0574135,BANK2P2,100.00,4/1/2013
BSN0577694,BANK2P2,135.00,1/10/2014
BSN0571693,BANK2P2,200.00,12/12/2013
BSN0567025,BANK2P2,766.90,7/1/2013
BSN0566255,BANK2P2,414.78,12/27/2012
BSN0502354,BANK2P2,250.33,6/19/2013
BSN0565337,BANK2P2,1176.20,8/31/2012
BSN0579193,BANK2P2,400.00,10/7/2013
BSN0565439,BANK2P2,10.12,11/21/2013
BSN0472202,BANK2P2,1499.16,9/18/2013
BSN0565964,BANK2P2,33.05,4/26/2013
BSN0568239,BANK2P2,32.25,12/24/2013
BSN0460522,BANK2P2,136.29,2/11/2013
BSN0569584,BANK2P2,350.00,4/17/2013
BSN0574581,BANK2P2,250.00,1/30/2013
BSN0578200,BANK2P2,143.00,1/4/2013
BSN0565800,BANK2P2,824.64,4/29/2013
BSN0571772,BANK2P2,200.00,7/18/2013
BSN0565493,BANK2P2,535.05,2/18/2014
BSN0526151,BANK2P2,47.24,6/5/2013
BSN0566958,BANK2P2,248.93,1/14/2013
BSN0293383,BANK2P2,200.00,6/13/2012
BSN0566024,BANK2P2,34.06,3/11/2013
BSN0568525,BANK2P2,250.00,10/11/2012
BSN0581693,BANK2P2,450.00,9/17/2013
BSN0574710,BANK2P2,220.00,10/4/2012
BSN0566475,BANK2P2,61.65,5/22/2013
BSN0125912,BANK2P2,483.87,9/25/2013
BSN0567801,BANK2P2,511.11,3/15/2013
BSN0571461,BANK2P2,88.75,9/24/2013
BSN0566318,BANK2P2,270.20,6/20/2013
BSN0567428,BANK2P2,232.53,5/15/2013
BSN0579790,BANK2P2,100.00,12/24/2013
BSN0572058,BANK2P2,25000.00,11/21/2012
BSN0566895,BANK2P2,500.00,11/30/2012
BSN0568406,BANK2P2,-100.00,3/26/2013
BSN0567442,BANK2P2,600.00,9/14/2012
BSN0568253,BANK2P2,33.26,12/20/2013
BSN0567749,BANK2P2,13.42,11/21/2013
BSN0567235,BANK2P2,3.85,12/18/2013
BSN0566928,BANK2P2,171.67,8/26/2013
BSN0565983,BANK2P2,716.04,11/25/2013
BSN0565806,BANK2P2,168.53,9/20/2013
BSN0568121,BANK2P2,1000.00,2/11/2013
BSN0572459,BANK2P2,246.13,1/7/2013
BSN0483485,BANK2P2,48.93,10/25/2013
BSN0554956,BANK2P2,52.24,9/4/2012
BSN0567179,BANK2P2,662.20,10/23/2012
BSN0573949,BANK2P2,234.00,11/26/2012
BSN0570787,BANK2P2,186.90,8/12/2013
BSN0570705,BANK2P2,175.17,6/12/2013
BSN0567778,BANK2P2,44.25,12/26/2012
BSN0568182,BANK2P2,280.40,4/19/2013
BSN0565411,BANK2P2,15.65,11/20/2013
BSN0566143,BANK2P2,67.55,10/21/2013
BSN0578820,BANK2P2,200.00,2/27/2013
BSN0566394,BANK2P2,69.10,9/26/2012
BSN0567039,BANK2P2,338.33,6/24/2013
BSN0575944,BANK2P2,200.00,2/11/2013
BSN0583729,BANK2P2,300.00,3/20/2013
BSN0565411,BANK2P2,207.45,2/24/2014
BSN0554341,BANK2P2,52.83,10/25/2013
BSN0568663,BANK2P2,150.00,4/15/2013
BSN0569243,BANK2P2,339.89,7/29/2013
BSN0566922,BANK2P2,214.72,2/21/2014
BSN0566365,BANK2P2,99.84,11/19/2013
BSN0070245,BANK2P2,1055.81,10/2/2013
BSN0566607,BANK2P2,637.65,6/13/2012
BSN0568386,BANK2P2,168.76,8/27/2013
BSN0567334,BANK2P2,163.00,6/12/2013
BSN0572455,BANK2P2,6000.00,11/13/2012
BSN0556789,BANK2P2,289.54,1/18/2013
BSN0566559,BANK2P2,511.66,7/5/2013
BSN0570900,BANK2P2,300.00,7/27/2012
BSN0566540,BANK2P2,372.15,10/8/2012
BSN0568497,BANK2P2,15.04,3/8/2013
BSN0565314,BANK2P2,563.97,7/26/2012
BSN0577716,BANK2P2,41.75,8/22/2013
BSN0580098,BANK2P2,376.84,1/4/2013
BSN0468700,BANK2P2,27.51,2/11/2014
BSN0567031,BANK2P2,150.00,12/26/2013
BSN0574037,BANK2P2,25.78,7/8/2013
BSN0580093,BANK2P2,30.90,4/11/2013
BSN0566453,BANK2P2,230.21,9/24/2013
BSN0561041,BANK2P2,315.33,10/30/2012
BSN0566454,BANK2P2,350.00,10/31/2012
BSN0565993,BANK2P2,150.00,12/2/2013
BSN0576683,BANK2P2,805.00,8/15/2012
BSN0481791,BANK2P2,252.37,12/27/2012
BSN0530942,BANK2P2,1273.69,1/9/2014
BSN0565531,BANK2P2,9.79,11/27/2013
BSN0101110,BANK2P2,350.00,10/15/2012
BSN0569744,BANK2P2,118.79,5/20/2013
BSN0573050,BANK2P2,39.41,6/28/2013
BSN0574878,BANK2P2,220.00,4/4/2013
BSN0570509,BANK2P2,141.10,6/13/2012
BSN0565884,BANK2P2,141.65,8/15/2013
BSN0571163,BANK2P2,500.00,9/28/2012
BSN0567841,BANK2P2,59.79,9/24/2013
BSN0566563,BANK2P2,186.90,1/3/2014
BSN0248586,BANK2P2,47.05,5/17/2013
BSN0567714,BANK2P2,340.49,1/10/2014
BSN0573064,BANK2P2,500.00,6/26/2012
BSN0267149,BANK2P2,84.21,9/9/2013
BSN0574572,BANK2P2,143.98,8/16/2012
BSN0565328,BANK2P2,160.57,2/19/2014
BSN0566453,BANK2P2,194.10,8/22/2012
BSN0570641,BANK2P2,150.00,3/18/2013
BSN0566365,BANK2P2,99.84,7/19/2013
BSN0580300,BANK2P2,100.00,8/22/2013
BSN0572886,BANK2P2,165.60,11/20/2012
BSN0581139,BANK2P2,100.00,7/30/2012
BSN0568805,BANK2P2,102.52,9/28/2012
BSN0567070,BANK2P2,247.91,5/28/2013
BSN0578049,BANK2P2,380.00,8/28/2013
BSN0566169,BANK2P2,28.59,8/2/2012
BSN0567991,BANK2P2,149.24,2/19/2014
BSN0291978,BANK2P2,238.26,10/30/2012
BSN0530672,BANK2P2,116.53,10/30/2013
BSN0583644,BANK2P2,200.00,1/13/2014
BSN0566111,BANK2P2,490.16,2/18/2014
BSN0582926,BANK2P2,300.00,6/13/2012
BSN0567311,BANK2P2,421.38,11/26/2012
BSN0313994,BANK2P2,244.51,12/19/2012
BSN0565443,BANK2P2,298.41,11/29/2012
BSN0566356,BANK2P2,502.29,9/7/2012
BSN0034528,BANK2P2,287.10,1/25/2013
BSN0568363,BANK2P2,220.00,7/25/2013
BSN0567846,BANK2P2,514.29,12/24/2012
BSN0565658,BANK2P2,350.00,12/2/2013
BSN0396533,BANK2P2,5.69,2/18/2013
BSN0566829,BANK2P2,475.00,9/20/2012
BSN0577972,BANK2P2,13.98,4/18/2013
BSN0571764,BANK2P2,154.57,7/23/2013
BSN0566922,BANK2P2,86.35,8/29/2012
BSN0566590,BANK2P2,100.00,11/2/2012
BSN0566042,BANK2P2,115.39,1/8/2014
BSN0579632,BANK2P2,25.84,4/26/2013
BSN0571259,BANK2P2,140.20,3/25/2013
BSN0568794,BANK2P2,210.00,5/22/2013
BSN0579714,BANK2P2,200.00,6/7/2013
BSN0567852,BANK2P2,467.30,2/20/2014
BSN0570750,BANK2P2,417.00,7/1/2013
BSN0577318,BANK2P2,500.00,1/10/2014
BSN0565587,BANK2P2,944.30,9/24/2012
BSN0576142,BANK2P2,200.00,12/21/2012
BSN0573310,BANK2P2,125.00,7/31/2013
BSN0566022,BANK2P2,187.33,11/29/2012
BSN0566713,BANK2P2,549.30,11/27/2012
BSN0569223,BANK2P2,1500.00,2/7/2013
BSN0580832,BANK2P2,100.00,7/22/2013
BSN0571077,BANK2P2,115.86,8/6/2013
BSN0502354,BANK2P2,73.35,6/19/2013
BSN0573449,BANK2P2,200.00,10/30/2013
BSN0581016,BANK2P2,449.06,8/22/2012
BSN0568208,BANK2P2,9.59,6/25/2013
BSN0567685,BANK2P2,73.44,2/14/2013
BSN0575369,BANK2P2,183.94,11/29/2012
BSN0576489,BANK2P2,208.28,7/22/2013
BSN0565785,BANK2P2,11459.79,7/17/2012
BSN0566083,BANK2P2,162.75,2/20/2013
BSN0499319,BANK2P2,312.50,5/27/2013
BSN0545125,BANK2P2,12.70,5/3/2013
BSN0583803,BANK2P2,300.00,1/16/2013
BSN0566333,BANK2P2,9500.00,9/28/2012
